mizo,english,hindi
Damdawi ka lêi dawn,I am going to purchase a medicine,main davai khareedne jaa raha hoon
I léi ka hmu thei,I can see your tongue,main tumhari jeebh dekh sakta hoon
I va ding léi em aw,I wonder why you stand bent,main sochta hoon tum jhuke hue kyun khade ho
Saw lèi saw kan kal thlen a ngai,we need to reach that bridge,hamein us pool tak pahuchna hi hai
Ka lêi tha,I bought a good one,maine ek accha khareeda
Léi a tawp,the tongue is tired,jeebh thak gayi
Lèi chungah chuan,on the bridge,pool ke upar
Nu leh pa te in lêi,the parents purchase,maa ba khareedte hain
Zan ah Léi a sen,at night the tongue is red,raat me jeebh laal hai
Lèi kha a sang,the bridge is high,pool ooncha hai
